LOCATION_NAME,TSN,LATITUDE,LONGITUDE,EFA_ID,PHONE,ADDRESS,FACILITIES,ACCESSIBILITY,TRANSPORT_MODE,MORNING_PEAK,AFTERNOON_PEAK,SHORT_PLATFORM
"Meadow Flat Coach Stop",279513,-33.434702,149.92069,10135854,,"Great Western Hwy before Sunny Corner Rd, Meadow Flat NSW 2795",,,Coach,,,False
"Meadowbank Station",211430,-33.81623815,151.0900609,10101202,"02 9752 8460","Constitution Rd, Meadowbank NSW 2114","Commuter car park | Wheelchair accessible car space | Kiss and ride stopping area | Bike racks | Bike lockers | Toilets | Wheelchair accessible toilet | Baby change table | Emergency help point | Payphone | Departure indicator screen | Opal card top up or single trip ticket machine (Card Payment only)","This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Platform edge tactiles | Stairs | Lift","Train, Bus, Ferry, Taxi",6.30-10am,3.00-7pm,False
"Meadowbank Wharf",211497,-33.82114791,151.0898782,10102028,,"Bowden St, Meadowbank NSW 2114","Commuter car park | Wheelchair accessible car space | Kiss and ride stopping area | Taxi rank | Bike racks | Bike lockers | Emergency help point | Departure indicator screen | Opal card top up or single trip ticket machine (Card Payment only)","This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles","Train, Ferry",,,False
"Medlow Bath Station",278030,-33.67387612,150.2807859,10101269,"02 4782 1902","Great Western Hwy, Medlow Bath NSW 2780","Emergency help point | Information point | Payphone | Departure indicator screen | No Opal card top up or single trip ticket sales","This location is Assisted Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Platform edge tactiles | Level crossing | Stairs",Train,6.00-10am,3.00-7pm,True
"Melbourne (Southern Cross) Station",221801,-37.818426,144.952472,10155010,,"Spencer St, Docklands VIC 3008",,,"Regional train",,,False
"Menangle Park Station",256310,-34.1037012,150.7449558,10101298,"02 4677 1402","Racecourse Dr, Menangle Park NSW 2563","Commuter car park | Emergency help point | Payphone | No Opal card top up or single trip ticket sales","This location is Assisted Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Level crossing",Train,6.00-10am,3.00-7pm,True
"Menangle Station",256810,-34.12520137,150.7444307,10101299,"02 4677 1402","Station St, Menangle NSW 2568","Commuter car park | Emergency help point | Information point | Payphone | No Opal card top up or single trip ticket sales","This location is Assisted Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Level crossing",Train,6.00-10am,3.00-7pm,True
"Mendooran Coach Stop",28421,-31.823036,149.122301,10150055,,"Bandulla St at Brambil St, Mendooran NSW 2842",,,Coach,,,False
"Menindee Station",28791,-32.389345,142.424697,10155001,"13 22 32","Maiden St, Menindee NSW 2879",,"This location is Not Accessible | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Stairs",Train,,,False
"Merimbula Coach Stop",25481,-36.888775,149.908959,10150110,,"Park St at Wonga St, Merimbula NSW 2548",,,Coach,,,False
"Merrylands Station",216010,-33.8363502,150.9928633,10101282,"02 9848 9239","Railway Tce, Merrylands NSW 2160","Commuter car park | Wheelchair accessible car space | Kiss and ride stopping area | Taxi rank | Bike racks | Bike lockers | Toilets | Wheelchair accessible toilet | Baby change table | Emergency help point | Payphone | Departure indicator screen | Opal card top up or single trip ticket machine (Card Payment only)","This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Platform edge tactiles | Stairs | Lift","Train, Bus, Taxi",6.30-10am,3.00-7pm,False
"Metford Station",232310,-32.76487575,151.6178682,10101174,"02 4933 7902","McCubbin Cl, Metford NSW 2323","Commuter car park | Wheelchair accessible car space | Bike racks | Emergency help point | Information point | Payphone | No Opal card top up or single trip ticket sales","This location is Independent Access | Wheelchair ramp boarding assistance | PA system for announcements | Platform edge tactiles | Stairs | Lift","Train, Bus",6.00-10am,3.00-7pm,True
"Michelago Coach Stop",26203,-35.70383,149.158302,10150257,,"Monaro Hwy after Ryrie St, Michelago NSW 2620",,,Coach,,,False
"Mildura Airport Coach Stop",3500211,-34.23092,142.084174,10156482,,"Alan Mathews Dr, Mildura VIC 3500",,,"Regional coach",,,False
"Mildura Base Hospital Coach Stop",3500143,-34.183476,142.144556,10156383,,"Ontario Ave, Mildura VIC 3500",,,"Regional coach",,,False
"Mildura Central Coach Stop",350046,-34.205752,142.137985,10156742,,"Deakin Ave, Mildura VIC 3500",,,"Regional coach",,,False
"Mildura Station",35001,-34.182081,142.163229,10150151,,"Seventh St, Mildura VIC 3500",,,"Coach, Bus",,,False
"Millthorpe Station",279821,-33.448714,149.182802,10155067,,"Station Pl, Millthorpe NSW 2798","Wheelchair accessible car space | Toilets | Wheelchair accessible toilet | Emergency help point | Information point | No Opal card top up or single trip ticket sales","This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Platform edge tactiles","Regional train",,,False
"Millthorpe Town Coach Stop",27981,-33.445663,149.185235,10150268,,"Millthorpe Public School, Park St, Millthorpe NSW 2798",,,"Coach, Regional coach",,,False
"Milsons Point Station",206110,-33.84589277,151.211825,10101111,"02 9379 4024","Alfred St, Milsons Point NSW 2061","Wheelchair accessible car space | Kiss and ride stopping area | Taxi rank | Bike racks | Toilets | Wheelchair accessible toilet | Baby change table | Emergency help point | Payphone | Departure indicator screen | Opal card top up or single trip ticket machine (Cash or Card Payment) | Opal card top up machine (Card Payment only)","This location is Independent Access | Wheelchair ramp boarding assistance | PA system for announcements | Platform edge tactiles | Stairs | Lift","Train, Bus, Ferry, Taxi",6.30-10am,3.00-7pm,True
"Milsons Point Wharf",20611,-33.84939899,151.2106384,10102017,,"Alfred St S, Milsons Point NSW 2061","Kiss and ride stopping area | Bike racks | Emergency help point | Departure indicator screen | Opal card top up or single trip ticket machine (Cash or Card Payment)","This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles | Stairs","Train, Bus, Ferry, Taxi",,,False
"Mindaribba Station",232050,-32.66932312,151.5843137,10101180,"02 4932 8409","Tocal Rd, Mindaribba NSW 2320","Emergency help point | No Opal card top up or single trip ticket sales","This location is Assisted Access | Wheelchair ramp boarding assistance | PA system for announcements",Train,6.00-10am,3.00-7pm,True
"Minnamurra Station",253310,-34.62569976,150.8522575,10101384,"02 4223 5613","North St, Minnamurra NSW 2533","Kiss and ride stopping area | Bike racks | Bike lockers | Emergency help point | Payphone | No Opal card top up or single trip ticket sales","This location is Independent Access | Wheelchair ramp boarding assistance | PA system for announcements","Train, Bus",6.00-10am,3.00-7pm,True
"Minto Station",256610,-34.02714972,150.8425967,10101294,"02 4629 0842","Somerset St, Minto NSW 2566","Commuter car park | Wheelchair accessible car space | Kiss and ride stopping area | Taxi rank | Bike racks | Bike lockers | Toilets | Emergency help point | Payphone | Departure indicator screen | Opal card top up or single trip ticket machine (Cash or Card Payment)","This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Platform edge tactiles | Stairs | Lift","Train, Bus, Taxi",6.30-10am,3.00-7pm,False
"Miranda Station",222810,-34.03635478,151.1028535,10101348,"02 9522 1295","Kiora Rd, Miranda NSW 2228","Commuter car park | Kiss and ride stopping area | Taxi rank | Bike racks | Bike lockers | Toilets | Wheelchair accessible toilet (MLAK) | Baby change table | Emergency help point | Payphone | Departure indicator screen | Opal card top up or single trip ticket machine (Card Payment only)","This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Platform edge tactiles | Stairs | Lift","Train, Bus, Taxi",6.30-10am,3.00-7pm,False
"Mittagong Station",257510,-34.45270638,150.4476899,10101305,"02 4871 1935","Regents St, Mittagong NSW 2575","Commuter car park | Wheelchair accessible car space | Kiss and ride stopping area | Bike racks | Toilets | Wheelchair accessible toilet | Baby change table | Emergency help point | Information point | Payphone | Departure indicator screen | No Opal card top up or single trip ticket sales","This location is Independent Access | Wheelchair ramp boarding assistance | PA system for announcements | Platform edge tactiles | Stairs | Lift | Hearing loop","Train, Bus",6.00-10am,3.00-7pm,True
"Moama Coach Stop",27311,-36.114325,144.756149,10150289,,"Moama Information Centre, Blair St, Moama NSW 2731",,,Coach,,,False
"Molong Coach Stop",28661,-33.092607,148.871452,10150112,,"Hill St, Molong NSW 2866",,,Coach,,,False
"Mona Vale B-Line",2103108,-33.677752,151.304356,10115781,,"Barrenjoey Rd, Mona Vale NSW 2103","Transport Park&Ride | Wheelchair accessible car space | Bike racks | Departure indicator screen","This location is Independent Access |","Bus, Taxi",6.30-10am,3.00-7pm,False
"Mooball Coach Stop",248323,-28.441619,153.491795,10150086,,"Mooball Coach Stop, Tweed Valley Way, Mooball NSW 2483",,,Coach,,,False
"Moonbi Coach Stop",23532,-31.021885,151.06988,10156769,,"New England Hwy at George St, Moonbi NSW 2353",,,Coach,,,False
"Moore Park Light Rail",202195,-33.89376,151.22178,10101608,,"Moore Park, Moore Park NSW 2021","Bike racks | Emergency help point | Departure indicator screen | Opal card top up or single trip ticket machine (Card Payment only)","This location is Independent Access | Hearing loop | Platform edge tactiles | Level crossing","Light rail, Taxi",6.30-10am,3.00-7pm,False
"Moree Station",24001,-29.473849,149.848164,10155051,"13 22 32","Gosport St, Moree NSW 2400","Commuter car park | Wheelchair accessible car space | Taxi rank | Toilets | Wheelchair accessible toilet | Baby change table | Emergency help point | Information point","This location is Assisted Access | Wheelchair ramp boarding assistance | PA system for announcements | Platform edge tactiles | Level crossing","Train, Coach, Taxi",,,False
"Moree Town Coach Stop",24003,-29.461275,149.840305,10150225,,"Balo Square, Auburn St, Moree NSW 2400",,,"Coach, Bus",,,False
"Morisset Station",226410,-33.10924629,151.4877339,10101148,"02 4349 9241","Dora St, Morisset NSW 2264","Commuter car park | Wheelchair accessible car space | Kiss and ride stopping area | Taxi rank | Bike racks | Bike lockers | Wheelchair accessible toilet | Baby change table | Emergency help point | Payphone | Departure indicator screen | Opal card top up or single trip ticket machine (Card Payment only)","This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Platform edge tactiles | Stairs | Lift","Train, Bus, Taxi",6.00-10am,3.00-7pm,True
"Mortdale Station",222310,-33.97058667,151.0812881,10101341,"02 9563 7585","Cnr Morts Rd & Pitt St, Mortdale NSW 2223","Commuter car park | Wheelchair accessible car space | Kiss and ride stopping area | Taxi rank | Bike racks | Toilets | Wheelchair accessible toilet | Emergency help point | Payphone | Departure indicator screen | Opal card top up or single trip ticket machine (Card Payment only)","This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Platform edge tactiles | Stairs | Lift","Train, Bus, Taxi",6.30-10am,3.00-7pm,True
"Mosman Bay Wharf",208877,-33.83847631,151.2323381,10102020,,"Avenue Rd, Mosman NSW 2088","Wheelchair accessible car space | Kiss and ride stopping area | Bike racks | Emergency help point | Payphone | Departure indicator screen | Opal card top up or single trip ticket machine (Card Payment only)","This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles","Bus, Ferry",,,False
"Moss Vale Station",257710,-34.54795977,150.3719897,10101308,"02 4868 1115","Dalys Way, Moss Vale NSW 2577","Commuter car park | Wheelchair accessible car space | Kiss and ride stopping area | Taxi rank | Bike racks | Toilets | Wheelchair accessible toilet | Baby change table | Emergency help point | Payphone | No Opal card top up or single trip ticket sales","This location is Assisted Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Stairs","Train, Bus, Regional coach, Taxi",6.00-10am,3.00-7pm,True
"Mount Colah Station",207910,-33.67202205,151.1144926,10101129,"02 9847 8476","Pacific Hwy, Mount Colah NSW 2079","Kiss and ride stopping area | Toilets | Emergency help point | Payphone | Free WiFi hotspot | Departure indicator screen | Opal card top up or single trip ticket machine (Card Payment only)","This location is Not Accessible | Wheelchair ramp boarding assistance | PA system for announcements | Stairs","Train, Bus",6.30-10am,3.00-7pm,True
"Mount Druitt Station",277010,-33.76954233,150.8197988,10101248,"02 9851 7501","North Pde, Mount Druitt NSW 2770","Commuter car park | Wheelchair accessible car space | Kiss and ride stopping area | Taxi rank | Bike racks | Bike lockers | Bike shed | Toilets | Wheelchair accessible toilet | Baby change table | Emergency help point | Payphone | Departure indicator screen | Opal card top up or single trip ticket machine (Cash or Card Payment) | Opal card top up machine (Card Payment only)","This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Platform edge tactiles | Stairs | Lift | Escalator","Train, Bus, Taxi",6.30-10am,3.00-7pm,False
"Mount George turnoff Coach Stop",24296,-31.897769,152.314858,10150067,,"Gloucester Rd opp Nowendoc Rd, Killawarra NSW 2429",,,Coach,,,False
"Mount Kuring-gai Station",208010,-33.65300164,151.1368223,10101130,"02 9847 8497","Pacific Hwy, Mount Kuring-Gai NSW 2080","Taxi rank | Toilets | Emergency help point | Payphone | Free WiFi hotspot | Departure indicator screen | No Opal card top up or single trip ticket sales","This location is Not Accessible | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Platform edge tactiles | Stairs","Train, Bus, Taxi",6.30-10am,3.00-7pm,True
"Mount Lambie Coach Stop",279084,-33.454095,149.987554,10120423,,"Great Western Hwy opp Old Western Rd, Mount Lambie NSW 2790",,,Coach,,,False
"Mount Russell turnoff Coach Stop",23601,-29.72633,150.937034,10150191,,"Gwydir Hwy opp Mt Russell Rd, Little Plain NSW 2360",,,Coach,,,False
"Mount Victoria Station",278610,-33.5881116,150.2569734,10101271,"02 6354 9838","Station St, Mount Victoria NSW 2786","Commuter car park | Taxi rank | Toilets | Emergency help point | Payphone | No Opal card top up or single trip ticket sales","This location is Not Accessible | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Platform edge tactiles | Stairs","Train, Regional coach, Bus, Taxi",6.00-10am,3.00-7pm,True
"Mudgee Station",28504,-32.601146,149.587392,10150082,,"Inglis St, Mudgee NSW 2850",,,Coach,,,False
"Mudgee Town Coach Stop",28505,-32.590463,149.585036,10150081,,"Mudgee Visitor Information Centre, Market St, Mudgee NSW 2850",,,Coach,,,False
"Mulgrave Station",275610,-33.62668367,150.830637,10101241,"02 9851 7275","Mulgrave Rd, Mulgrave NSW 2756","Commuter car park | Wheelchair accessible car space | Bike racks | Wheelchair accessible toilet | Baby change table | Emergency help point | Information point | Payphone | Departure indicator screen | No Opal card top up or single trip ticket sales","This location is Assisted Access | Wheelchair ramp boarding assistance | PA system for announcements | Platform edge tactiles | Level crossing",Train,6.30-10am,3.00-7pm,False
"Mullaley Coach Stop",237913,-31.097917,149.910359,10150106,,"Mullaley Park, Nombi St, Mullaley NSW 2379",,,Coach,,,False
"Mullumbimby Station",24821,-28.554009,153.503098,10150241,,"Prince St, Mullumbimby NSW 2482",,,Coach,,,False
"Mulwala Coach Stop",26471,-35.989306,146.005061,10150084,,"Inglis St at Melbourne St, Mulwala NSW 2647",,,Coach,,,False
"Murrumbateman Coach Stop (northbound)",25822,-34.968544,149.030382,10150128,,"Murrumbateman Country Inn, Barton Hwy, Murrumbateman NSW 2582",,,Coach,,,False
"Murrumbateman Coach Stop (southbound)",25823,-34.969187,149.030613,10150126,,"Jones Park, Barton Hwy, Murrumbateman NSW 2582",,,Coach,,,False
"Murrurundi Station",23381,-31.768429,150.839451,10155005,"13 22 32","Victoria St, Murrurundi NSW 2338","Commuter car park | Toilets | Information point","This location is Independent Access | Wheelchair ramp boarding assistance | PA system for announcements | Stairs",Train,,,False
"Murrurundi Town Coach Stop (northbound)",233813,-31.763464,150.83416,10150109,,"Murrurundi Visitor Information Centre, Mayne St, Murrurundi NSW 2338",,,Coach,,,False
"Murrurundi Town Coach Stop (southbound)",233812,-31.763464,150.83416,10150109,,"Mayne St opp Murrurundi Visitor Information Centre, Murrurundi NSW 2338",,,Coach,,,False
"Murwillumbah Station",24841,-28.329887,153.402432,10150012,,"Tweed Valley Way, Murwillumbah NSW 2484",,,Coach,,,False
"Museum Station",200040,-33.87569985,151.2101064,10101104,"02 9379 1396","Elizabeth St, Sydney NSW 2000","Taxi rank | Toilets | Wheelchair accessible toilet (MLAK) | Baby change table | Emergency help point | Payphone | Departure indicator screen | Opal card top up or single trip ticket machine (Cash or Card Payment)","This location is Independent Access | Wheelchair ramp boarding assistance | PA system for announcements | Platform edge tactiles | Stairs | Lift | Escalator","Train, Bus, Taxi",6.30-10am,3.00-7pm,False
"Muswellbrook Station",233310,-32.26749261,150.8903202,10101191,"02 4962 9155","Market St, Muswellbrook NSW 2333","Commuter car park | Wheelchair accessible car space | Bike racks | Toilets | Emergency help point | Payphone | No Opal card top up or single trip ticket sales","This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Platform edge tactiles | Stairs","Train, Bus, Coach",6.00-10am,3.00-7pm,True
"Muttama Coach Stop",27221,-34.803942,148.117531,10150258,,"Muttama Rd before Bridge St, Muttama NSW 2722",,,Coach,,,False
"Nambucca Heads Plaza Coach Stop",244833,-30.654536,152.988757,10158056,,"Nambucca Heads Plaza, Giinagay Way, Nambucca Heads NSW 2448",,,"Regional coach",,,False
"Nambucca Heads Station",24481,-30.629129,152.977472,10155058,"13 22 32","Railway Pde, Nambucca Heads NSW 2448","Commuter car park | Taxi rank | Toilets | Wheelchair accessible toilet | Baby change table | Emergency help point | Information point","This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements","Train, Coach, Taxi",,,False
"Nambucca Heads Town Coach Stop",244826,-30.642027,153.002309,10155757,,"Nambucca Heads Police Station, Bowra St, Nambucca Heads NSW 2448",,,"Regional coach, Bus",,,False
"Narara Station",2250772,-33.39478578,151.3443079,10101140,"02 4352 1450","Narara Valley Dr, Narara NSW 2250","Commuter car park | Wheelchair accessible car space | Kiss and ride stopping area | Bike racks | Bike lockers | Emergency help point | Information point | Payphone | Free WiFi hotspot | No Opal card top up or single trip ticket sales","This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Platform edge tactiles | Stairs | Lift","Train, Bus",6.00-10am,3.00-7pm,True
"Narrabeen B-Line",2101130,-33.713467,151.297416,10119205,,"Pittwater Rd, Narrabeen NSW 2101","Transport Park&Ride | Wheelchair accessible car space | Bike racks | Toilets | Wheelchair accessible toilet | Departure indicator screen","This location is Independent Access |","Bus, Taxi",6.30-10am,3.00-7pm,False
"Narrabri Station",23901,-30.325322,149.79202,10155044,"13 22 32","Bowen St, Narrabri NSW 2390","Commuter car park | Wheelchair accessible car space | Toilets | Wheelchair accessible toilet | Baby change table | Emergency help point | Information point | Payphone","This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Stairs","Train, Regional coach, Taxi",,,False
"Narrandera Station",27001,-34.740516,146.556999,10155024,"13 22 32","Whitton St, Narrandera NSW 2700","Commuter car park | Toilets | Emergency help point | Information point","This location is Assisted Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements","Train, Coach",,,False
"Narromine Coach Stop",28211,-32.234112,148.240167,10150202,,"Derribong St, Narromine NSW 2821",,,Coach,,,False
"Narwee Station",220920,-33.94751814,151.0697482,10101414,"02 9563 7770","Hannans Rd, Narwee NSW 2209","Commuter car park | Wheelchair accessible car space | Kiss and ride stopping area | Taxi rank | Bike racks | Toilets | Wheelchair accessible toilet | Baby change table | Emergency help point | Payphone | Departure indicator screen | Opal card top up or single trip ticket machine (Card Payment only)","This location is Independent Access | Wheelchair ramp boarding assistance | PA system for announcements | Platform edge tactiles | Stairs | Lift","Train, Bus, Taxi",6.30-10am,3.00-7pm,False
"Nerong Coach Stop",24233,-32.511459,152.211271,10150231,,"Whimbrel Dr, Nerong NSW 2423",,,Coach,,,False
"Neutral Bay Junction",208953,-33.831653,151.22274,10114972,,"Military Rd, Neutral Bay NSW 2089","Bike racks | Departure indicator screen","This location is Independent Access |",Bus,6.30-10am,3.00-7pm,False
"Neutral Bay Wharf",208943,-33.84231965,151.2193125,10102023,,"Hayes St, Neutral Bay NSW 2089","Wheelchair accessible car space | Kiss and ride stopping area | Bike racks | Emergency help point | Departure indicator screen | Opal card top up or single trip ticket machine (Card Payment only)","This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles | Stairs","Bus, Ferry",,,False
"Nevertire Coach Stop",28261,-31.8375,147.717,10150271,,"Mitchell Hwy after Clyde St, Nevertire NSW 2826",,,Coach,,,False
"Newcastle Beach Light Rail",2300136,-32.927465,151.786195,10101505,,"Scott St, Newcastle NSW 2300","Emergency help point | Opal card top up or single trip ticket machine (Cash or Card Payment)","This location is Independent Access | Hearing loop | PA system for announcements | Platform edge tactiles | Level crossing","Light rail",6.30-10am,3.00-7pm,False
"Newcastle Interchange",229310,-32.924308,151.75965,10101165,,"Station Street, Wickham NSW 2293","Kiss and ride stopping area | Taxi rank | Bike racks | Toilets | Wheelchair accessible toilet | Baby change table | Emergency help point | Payphone | Departure indicator screen | Opal card top up or single trip ticket machine (Cash or Card Payment)","This location is Independent Access | Wheelchair ramp boarding assistance | PA system for announcements | Platform edge tactiles | Stairs","Train, Bus, Light rail, Taxi",6.00-10am,3.00-7pm,True
"Newtown Station",204210,-33.89788301,151.1799247,10101214,"02 9379 1790","King St, Newtown NSW 2042","Bike racks | Toilets | Wheelchair accessible toilet (MLAK) | Baby change table | Emergency help point | Departure indicator screen | Opal card top up or single trip ticket machine (Card Payment only) | Opal card top up machine (Card Payment only)","This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Platform edge tactiles | Stairs | Lift","Train, Bus",6.30-10am,3.00-7pm,False
"Niagara Park Station",225060,-33.38333131,151.3542821,10101141,"02 4352 1450","Kathleen Morreau Rd, Niagara Park NSW 2250","Commuter car park | Wheelchair accessible car space | Kiss and ride stopping area | Bike racks | Emergency help point | Free WiFi hotspot | No Opal card top up or single trip ticket sales","This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Platform edge tactiles | Stairs | Lift","Train, Bus",6.00-10am,3.00-7pm,True
"Nimmitabel Coach Stop",26312,-36.513522,149.283734,10150017,,"Nimmitabel Police Station, Bombala St, Nimmitabel NSW 2631",,,Coach,,,False
"Normanhurst Station",207620,-33.72075274,151.0972405,10101194,"02 9847 8423","Denman Pde, Normanhurst NSW 2076","Taxi rank | Bike racks | Toilets | Emergency help point | Payphone | Departure indicator screen | Opal card top up or single trip ticket machine (Card Payment only)","This location is Not Accessible | Wheelchair ramp boarding assistance | PA system for announcements | Stairs","Train, Bus, Taxi",6.30-10am,3.00-7pm,False
"North Ryde Station",211320,-33.7944217,151.1379398,10101428,"02 8878 4335","Delhi Rd, North Ryde NSW 2113","Bike lockers | Kiss and ride stopping area | Bike racks | Opal card top up or single trip ticket machine (Cash or Card Payment) | Toilets | Wheelchair accessible toilet | Emergency help point | Payphone","This location is Independent Access | Lift | Stairs | Escalator | Hearing loop | Wheelchair ramp boarding assistance | Platform edge tactiles | PA system for announcements","Metro, Bus",6.30-10am,3.00-7pm,False
"North Strathfield Station",213710,-33.85868801,151.0879861,10101205,"02 9752 8462","Queen St, North Strathfield NSW 2137","Wheelchair accessible car space | Kiss and ride stopping area | Bike racks | Bike lockers | Toilets | Wheelchair accessible toilet | Baby change table | Emergency help point | Payphone | Departure indicator screen | Opal card top up or single trip ticket machine (Cash or Card Payment)","This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Platform edge tactiles | Stairs | Lift","Train, Bus",6.30-10am,3.00-7pm,False
"North Sydney Station",206010,-33.84120853,151.2074102,10101112,"02 9379 4432","Blue St, North Sydney NSW 2060","Kiss and ride stopping area | Taxi rank | Bike racks | Toilets | Wheelchair accessible toilet | Baby change table | Emergency help point | Payphone | Departure indicator screen | Opal card top up or single trip ticket machine (Cash or Card Payment) | Opal card top up machine (Card Payment only)","This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Platform edge tactiles | Stairs | Lift | Escalator","Train, Bus, Taxi",6.30-10am,3.00-7pm,True
"North Sydney Wharf",206099,-33.84496235,151.2187282,10102016,,"High St, North Sydney NSW 2060","Kiss and ride stopping area | Emergency help point | Information point | Departure indicator screen | No Opal card top up or single trip ticket sales","This location is Not Accessible | Wheelchair ramp boarding assistance | Stairs",Ferry,,,False
"North Wollongong Station",250010,-34.41259326,150.8913492,10101371,"02 4223 5583","Stafford St, North Wollongong NSW 2500","Commuter car park | Wheelchair accessible car space | Kiss and ride stopping area | Taxi rank | Bike racks | Toilets | Wheelchair accessible toilet | Baby change table | Emergency help point | Information point | Payphone | Departure indicator screen | Opal card top up or single trip ticket machine (Cash or Card Payment)","This location is Independent Access | Wheelchair ramp boarding assistance | PA system for announcements | Platform edge tactiles | Stairs | Lift","Train, Bus, Taxi",6.00-10am,3.00-7pm,True
"Northwood Wharf",206614,-33.832464,151.178664,10102048,,"Northwood NSW 2066","Commuter car park | Wheelchair accessible car space","This location is Not Accessible | Wheelchair ramp boarding assistance",Ferry,,,False
"Norwest Station",2153477,-33.734348,150.963846,10104004,,"Norwest Bvd, Norwest NSW 2153","Bike shed | Bike racks | Kiss and ride stopping area | Taxi rank | Opal card top up or single trip ticket machine (Cash or Card Payment) | Toilets | Wheelchair accessible toilet | Emergency help point | Payphone","This location is Independent Access | Lift | Escalator | Ramp gradient | Hearing loop | Wheelchair ramp boarding assistance | Platform edge tactiles | PA system for announcements","Metro, Bus, Taxi",6.30-10am,3.00-7pm,False
"Nyngan Coach Stop",28251,-31.562975,147.196784,10150021,,"Nyngan Visitor Information Centre, Railway Square, Nyngan NSW 2825",,,Coach,,,False
"Oak Flats Station",252920,-34.57223075,150.8209079,10101382,"02 4223 5565","Stanford Dr, Oak Flats NSW 2529","Commuter car park | Wheelchair accessible car space | Kiss and ride stopping area | Taxi rank | Bike racks | Bike lockers | Toilets | Wheelchair accessible toilet | Baby change table | Emergency help point | Information point | Payphone | Opal card top up or single trip ticket machine (Cash or Card Payment)","This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Platform edge tactiles | Stairs","Train, Bus, Taxi",6.00-10am,3.00-7pm,True
"Oatley Station",222320,-33.98084516,151.0789651,10101342,"02 9522 1246","Oatley Pde, Oatley NSW 2223","Commuter car park | Wheelchair accessible car space | Kiss and ride stopping area | Bike racks | Toilets | Wheelchair accessible toilet | Baby change table | Emergency help point | Payphone | Departure indicator screen | Opal card top up or single trip ticket machine (Cash or Card Payment)","This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Platform edge tactiles | Stairs | Lift","Train, Bus, Taxi",6.30-10am,3.00-7pm,True
"Oberon Coach Stop",27873,-33.703707,149.855614,10150223,,"Fleming St at Oberon St, Oberon NSW 2787",,,"Coach, Bus",,,False
"Ocean Shores Coach Stop",248330,-28.524816,153.545954,10157746,,"Ocean Village Shops, Rajah Rd, Ocean Shores NSW 2483",,,Coach,,,False
"Old Cremorne Wharf",209038,-33.84092232,151.2305011,10102026,,"Kareela Rd, Cremorne Point NSW 2090","Emergency help point | Information point | Departure indicator screen | No Opal card top up or single trip ticket sales","This location is Not Accessible | Wheelchair ramp boarding assistance | Stairs",Ferry,,,False
"Olympic Park Station",212710,-33.84652013,151.0695472,10101424,"02 9752 8557","Murray Rose Ave, Sydney Olympic Park NSW 2127","Bike racks | Toilets | Wheelchair accessible toilet | Wheelchair accessible toilet (MLAK) | Baby change table | Emergency help point | Payphone | Departure indicator screen | Opal card top up or single trip ticket machine (Cash or Card Payment)","This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Platform edge tactiles | Stairs | Lift | Escalator","Train, Bus, Taxi",6.30-10am,3.00-7pm,True
"Ootha Coach Stop",287521,-33.121352,147.448015,10150155,,"Henry Parkes Way at Ringwood Rd, Ootha NSW 2875",,,Coach,,,False
